,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
217,04/12/2017,יהודה גליק,על יוזמתו להרחיב את האיסור על מכירת מוצרי טבק,ליכוד,כאן ב׳,half true,"עבודה, רווחה ובריאות",מערכת הבריאות,https://www.thewhistle.co.il/feed/47yD8VGyGP,הכנסת ה-20,male,"""זה חוק שפועל היום ב-18 מדינות בארצות הברית, ובכל מקום שהוא פועל צמצם את [צריכת] הסיגריות בקרב צעירים ב-50%. ונזכיר ש-90% מהמעשנים מתחילים בגיל צעיר, בגיל תיכון או עד גיל 21"""
218,18/02/2018,יהודה גליק,על מפלגת החירות האוסטרית,ליכוד,גל״צ,mostly untrue,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/DKWRR8AWbj,הכנסת ה-20,male,"""מאז ששטראכה עומד בראש המפלגה הוא הוציא כל גורם שהיה בו אלמנט אנטישמי, נאו-נאצי [...] את עמדתי [לגבי מנהיג המפלגה] מבטאת גם השגרירה שלנו באוסטריה"""
219,14/09/2018,יהודה גליק,על האוכלוסייה היהודית והפלסטינית מעבר לקו הירוק,ליכוד,רדיו ת״א,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/47yD8KByGP,הכנסת ה-20,male,"""יש פה היום כשני מיליון פלסטינים פלוס מינוס. חיים פה, מעבר לקו הירוק, כמעט מיליון יהודים, כולל מזרח ירושלים"""
220,02/01/2018,יואב בן צור,על חוק המרכולים,"ש""ס",כאן ב׳,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/wzy5Kmw0Q6,הכנסת ה-20,male,"""אף אחד לא הגיש הסתייגות [בעניין פתיחת חנויות נוחות בתחנות דלק] [...] תחנות הדלק נמצאות בשטחן של המועצות האזוריות, למועצות האזוריות אין חוק עזר שמחייב אותן לעשות דבר כזה. אין חוקי עזר במועצות אזוריות. שם אין לנו יכולת לומר דבר וחצי דבר"""
221,14/11/2017,יואב גלנט,על מחירי הדיור,ליכוד,גל״צ,mostly untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/a5xQzne0qA,הכנסת ה-20,male,"""אנחנו קיבלנו לידינו את התהליך הזה ובו כל שנה מחירי הדיור היו עולים ב-10% עד 15% ובסך הכל 100% בעשור - המצב הזה נבלם"""
222,18/06/2018,יואב גלנט,על רמת החיים ברמאללה,ליכוד,כאן ב׳,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/O4Wk2910jb,הכנסת ה-20,male,"""כשמישהו בא אליך עם יד מושטת ובסך הכל מתנהג כמו שצריך אז הוא מקבל חיים כמו שקורה ברמאללה, עם רמת חיים יותר גבוהה מכל העולם הערבי"""
223,10/07/2018,יואב גלנט,על הדיור הציבורי בישראל,ליכוד,רשת,mostly true,"עבודה, רווחה ובריאות",דיור ציבורי,https://www.thewhistle.co.il/feed/GkxzveYxo5,הכנסת ה-20,male,"""היינו פעם ב-23% מהדירות דיור ציבורי, היום אנחנו ב-2.5% [...] הדבר הזה לא תואם שום מדינה, כולל מדינות שאינן מדינות רווחה, שבהן מחזיקים 5-7% ממלאי הדיור כמלאי דיור ציבורי"""
224,23/02/2019,יואב גלנט,על הסכמי העודפים בכנסת העשרים,ליכוד,רשת,untrue,"כנסת, ממשלה ומנהל ציבורי",בחירות לכנסת,https://www.thewhistle.co.il/feed/O10Y9bl0wq,מע׳ בחירות,male,"""היה הסכם עודפים בין מפלגת העבודה לבין הרשימה המשותפת בבחירות הקודמות""."
225,02/01/2018,יואב קיש,על חוק המרכולים,ליכוד,ערוץ הכנסת,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/O10Y9vX0wq,הכנסת ה-20,male,"""חוק המרכולים הוא חוק שמשמר סטטוס קוו [...] החוק נבע בעקבות פסילת בג""ץ של חוק דומה שדיבר על כך ששר הפנים יצטרך להמליץ, לתת התייחסותו. בא בג""ץ ופסל את זה"""
226,22/01/2018,יואב קיש,על חזקת הגיל הרך,ליכוד,כאן ב׳,untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/aVyNX8X0K8,הכנסת ה-20,male,"""ח""כ שולי מועלם הכניסה סעיף שאומר 'מידת הטיפול שהעניק כל אחד מההורים לקטין בשנתיים שקדמו לפירוד'. הסעיף הזה כבר ועדת שניט קבעה שזה לא טובת הילד"""
227,29/01/2018,יואב קיש,על מבקשי מקלט אריתראים,ליכוד,גל״צ,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/a5xQzbb0qA,הכנסת ה-20,male,"""כ- 12,000 חזרו מרצון למדינות אפריקאיות, מתוכם כ- 80% חזרו לאריתריאה"""
228,07/08/2017,יואל חסון,על מינוי היועמ״ש,התנועה,גלי ישראל,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/O10Y9X20wq,הכנסת ה-20,male,"""השינוי הזה שבו ראש הממשלה ממנה את היועץ המשפטי לממשלה זה שינוי שנתניהו עשה. הוא שינה את החוק. בעבר, ראשי ממשלות ממש לא מינו את היועץ המשפטי לממשלה. הממשלה אישרה, אבל הם לא מינו. היתה ועדה ציבורית שבחרה אותם"""
229,03/01/2018,יובל שטייניץ,על עונש מוות למחבלים,ליכוד,103FM,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/Z909O3wyqO,הכנסת ה-20,male,"""כל אירופה ביטלה את עונש המוות, כולל רוסיה, חוץ ממדינה אחת. יש היום עונש מוות רק במדינה אחת באירופה - בבלרוס [...] ובמזרח התיכון, המצב בדיוק הפוך. בכל המדינות יש עונש מוות, ורק ישראל היא המדינה היחידה שאין בה עונש מוות"""
230,20/01/2018,יובל שטייניץ,על תפקודו כשר אוצר,ליכוד,ערוץ 10,mostly untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/qX0nzla0N9,הכנסת ה-20,male,"""יאיר לפיד קיבל ממני את הכלכלה מספר אחד ב-OECD במערב כולו בצמיחה ובצמיחה לנפש [...] והחזיר כלכלה שירדה רחוק מאוד מהמקום הראשון והטוב שלה"""
231,23/01/2018,יובל שטייניץ,על הסכמי הגליית זרים,ליכוד,גל״צ,mostly untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/7nya1lvy9A,הכנסת ה-20,male,"""גם צרפת יש לה תכנית דומה, וגם איטליה ומדינות אחרות באירופה, של לשלם איזשהו תשלום או תמיכה כלכלית ולהחזיר אנשים לאפריקה"""
232,29/06/2018,יובל שטייניץ,על המשבר במשק המים בישראל,ליכוד,רדיו ת״א,untrue,סביבה,משק המים,https://www.thewhistle.co.il/feed/O4Wk2940jb,הכנסת ה-20,male,"""בפעם הראשונה בהיסטוריה הכנרת מתקרבת לקו השחור"""
233,02/07/2018,יובל שטייניץ,"על כנס ""ילדים תחת כיבוש"" בכנסת",ליכוד,כאן ב׳,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/a5xQz630qA,הכנסת ה-20,male,"""הארגון המשמעותי שמאחורי הכנס הוא 'הארגון הבינלאומי לזכויות הילדים - פלסטין', שחתום על אמנת ה-BDS"""
234,25/12/2018,יובל שטייניץ,על הצטרפות ישראל ל-OECD,ליכוד,כאן ב׳,half true,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/7nya1VRy9A,הכנסת ה-20,male,"""בראשות נתניהו בעשור האחרון, היינו הראשונים לצאת מהמשבר הכלכלי הגלובלי והצטרפנו ל-OECD"""
235,24/02/2019,יובל שטייניץ,על הסכמי עודפים עם מפלגות ערביות,ליכוד,כאן ב׳,untrue,"כנסת, ממשלה ומנהל ציבורי",בחירות לכנסת,https://www.thewhistle.co.il/feed/QrxOMvYW9B,מע׳ בחירות,male,"""יש גם הסכמי עודפים בין מפלגות בשמאל למפלגות הערביות ששוללות את זכות קיומה של ישראל כמדינה יהודית [...] היו הרבה בעבר"""
236,10/03/2019,יובל שטייניץ,על הגירעון התקציבי בעת סיום כהונתו:,ליכוד,גל״צ,untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/YMWp5ZEyKk,מע׳ בחירות,male,"- מראיין: ""לפיד יזכיר שהירושה שהוא קיבל ממך באוצר זה גירעון של 40 מיליארד שקל"". - שטייניץ:  ""זה היה שנה לפני שהוא נכנס לתפקיד, הוא קיבל ממני כבר גירעון שירד"" "
237,19/03/2019,יובל שטייניץ,על הפקת אנרגיה מגז טבעי:,ליכוד,"גל""צ",mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/a5xQzZl0qA,מע׳ בחירות,male,"""למעשה, גז טבעי - אפס זיהום. הפחם הורג, הגז הטבעי מציל חיים"""
238,10/04/2019,יובל שטייניץ,על ממשלות ימין צרות:,ליכוד,103FM,mostly true,"כנסת, ממשלה ומנהל ציבורי",הרכב ממשלות,https://www.thewhistle.co.il/feed/O4Wk26m0jb,מע׳ בחירות,male,״דווקא ממשלות צרות יותר - ממשלות ימין יחסית צרות החזיקו מעמד והיו [...] לא פחות יציבות ואולי יותר יציבות מממשלות איחוד גדולות״. 
239,18/04/2019,יובל שטייניץ,"על עומס התיקים בבג""צ:",ליכוד,כאן ב',misleading,חוק ומשפט,"ביהמ""ש העליון",https://www.thewhistle.co.il/feed/ORxK91JWjK,מע׳ בחירות,male,"""[צריך] לרסן את האקטיביזם השיפוטי, שלא קיים בשום מדינה אחרת ברמות כאלה [...] בארה""ב יש 330 מיליון תושבים, ובית המשפט העליון דן בממוצע בכל שנה ב-70 עתירות. בישראל רק 8.5 מיליון תושבים. בית המשפט העליון דן ב-3,000 עד 4,000 תיקים"""
240,05/06/2019,יובל שטייניץ,על הכנסות המדינה מגז טבעי:,ליכוד,כאן ב׳,mostly untrue,כלכלה,מתווה הגז,https://www.thewhistle.co.il/feed/nJy3YNG0PO,הכנסת ה-21,male,"""מאז ועדת ששינסקי, שעשיתי אותה כשר אוצר, אנחנו מקבלים שני שליש מהרווחים מהגז הטבעי, אזרחי ישראל"""
241,10/08/2017,יוסי דגן,על חקירות ברק,,כאן ב׳,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Xr0mz11Wpv,הכנסת ה-20,male,"""אהוד ברק שעלה לשלטון על עמותות קש ואנשיו, כמו בוז'י הרצוג, ששתקו בחקירות, שמבקר המדינה קבע שייתכן שנקנה שלטון בכסף לכאורה, הוא מטיף עכשיו על החשוד נתניהו"""
242,14/04/2019,יועז הנדל,"על שיעורי החינוך הציוני והגיוס לצה""ל:",כחול לבן,כאן ב',untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/YXylJB40w2,מע׳ בחירות,male,"""מעל 50% מתלמידי כיתות א' לומדים בחינוך לא ציוני [...] ורק 50% מהצעירים במדינת ישראל מתגייסים ו-43% מסיימים שירות מלא"""
243,14/05/2019,יועז הנדל,על שיעור החינוך הציוני וגיוס לצה״ל:,כחול לבן,כאן ב׳,half true,"חינוך, תרבות וספורט",חינוך לציונות,https://www.thewhistle.co.il/feed/YXylJB40w2,הכנסת ה-21,male,"""מעל 50% מתלמידי כיתות א' לומדים בחינוך לא ציוני [...] ורק 50% מהצעירים במדינת ישראל מתגייסים ו-43% מסיימים שירות מלא"""
244,20/12/2017,יעל גרמן,על ייצוא קנאביס,יש עתיד,גל״צ,half true,כלכלה,ייצוא קנאביס,https://www.thewhistle.co.il/feed/nJy3YbJ0PO,הכנסת ה-20,female,"""כמעט ואין מדינה בעולם שמייצאת קנאביס ולא בכדי, לרבות הולנד שבה זה חופשי לחלוטין. אבל הולנד לא מייצאת את הקנאביס"""
245,15/07/2019,יעל גרמן,על חקיקה נגד טיפולי המרה ללהט״ביםף,כחול לבן,גל״צ,TRUE,דת ומדינה,טיפולי המרה,https://www.thewhistle.co.il/feed/RVxBGrw0Zk,מע׳ בחירות,female,"""ניסיתי שלוש פעמים להעביר את זה, ובכל השלוש, בממשלה בראשות נתניהו שכביכול נזף ברב פרץ, החוק לא עבר"""
246,03/04/2018,יעל כהן פארן,על מס׳ התיכונים בדרום ת״א,עבודה,פייסבוק,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/M8W1Oonxge,הכנסת ה-20,female,"""יש לבנות תיכון עירוני נוסף בדרום העיר. לא ייתכן שבדרום העיר יש רק תיכון עיוני אחד לעומת חלקים אחרים"""
247,11/09/2017,יעקב ליצמן,על הגירעון בהדסה,יהדות התורה,גל״צ,untrue,"עבודה, רווחה ובריאות",מערכת הבריאות,https://www.thewhistle.co.il/feed/6a0JDM9yLN,הכנסת ה-20,male,"""כשאני עזבתי את סגן שר הבריאות הגירעון היה 150 מיליון שקל בהדסה, חזרתי לתפקידי אחרי שנה ושלושת רבעי, כאשר הגירעון היה מיליארד שלוש מאות"""
248,26/12/2017,יעקב ליצמן,על יוזמתו שראשי ממשלה יידרשו להיות בעלי ניסיון צבאי או תואר אקדמי,יהדות התורה,רשת,untrue,"כנסת, ממשלה ומנהל ציבורי",ניסיון צבאי,https://www.thewhistle.co.il/feed/qX0nzXm0N9,הכנסת ה-20,male,"ליצמן: ""ראש ממשלה, צריך להיות לו ניסיון עשיר בקרבי, בצבא, בנושא הצבאי""הילה קורח: ""למה? היו הרי שרי ביטחון שלא היו קרביים""ליצמן: ""לא היו. כולם היו פחות או יותר, ידעו את זה, היו מעורבים, כולם מאז קום המדינה"" "
249,04/03/2018,יעקב ליצמן,על הצ״ח יסוד לימוד תורה,יהדות התורה,103FM,mostly untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/VnWb2ADWve,הכנסת ה-20,male,"""המשימה שלי היא להעביר את החוק הזה. החוק הזה הוסכם בהסכם הקואליציוני, זאת אומרת, זה לא דבר חדש"""
250,31/10/2018,יעקב ליצמן,על פועלה של יעל גרמן בנושא חוק הפונדקאות,יהדות התורה,נאום,untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/3wW6K5YyD2,הכנסת ה-20,male,"""את היית שרת הבריאות כשאף חרדי לא היה בתוך הקואליציה. היה לך שנתיים לעשות משהו, לא עשיתם כלום"""
251,07/04/2019,יעקב ליצמן,על המחסור במיטות אשפוז בבתי חולים:,יהדות התורה,"גל""צ",mostly untrue,כלכלה,תקציב הבריאות,https://www.thewhistle.co.il/feed/NR0d2jVyBV,מע׳ בחירות,male,"""ארבע שנים הוספתי כל שנה 200 מיטות למערכת הבריאות בבתי חולים ממשלתיים. מעבר לכך, הוספתי גם בית חולים באמצע קדנציה באשדוד, אסותא, 350 מיטות"""
252,07/04/2019,יעקב ליצמן,על פועלו בתחום הבריאות:,יהדות התורה,"גל""צ",TRUE,תחבורה,תעופה,https://www.thewhistle.co.il/feed/6a0JDm9yLN,מע׳ בחירות,male,"""מפלגת יהדות התורה היא המפלגה היחידה שבהסכם הקואליציוני הקודם דאגה לבריאות"""
253,04/03/2019,יפעת שאשא-ביטון,על מחירי החשמל,כולנו,רשת,untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/KRxoozvxOn,מע׳ בחירות,female,"""בתחילת הקדנציה, לפני ארבע שנים, שילמו 20% פחות. זאת אומרת, היום, אחרי ההתייקרות, אנחנו מדברים על כך שהציבור משלם 17% פחות משהם שילמו לפני ארבע שנים"""
254,09/07/2019,יפעת שאשא-ביטון,על העברת אגף מעונות היום למשרד החינוך:,כולנו,גל״צ,half true,"חינוך, תרבות וספורט",מעונות יום,https://www.thewhistle.co.il/feed/Z8yXDkMy42,מע׳ בחירות,female,"""גם כשהמשרד [של מעונות היום] עבר מהתמ""ת לכלכלה ומהכלכלה לרווחה, בשום שלב לא היה תוספת תקציבית, הוא הועבר כאגף"""
255,30/01/2018,יצחק בוז׳י הרצוג,על סודן ואריתראה,עבודה,רדיו ירושלים,mostly true,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/rVxwgl6xmA,הכנסת ה-20,male,"""הם [מבקשי המקלט] הגיעו ממדינות שעל פי האמנה הבינלאומית אי אפשר להחזיר אותם לשם, גם אריתריאה וגם סודן זה מדינות שהן הנמוכות ביותר במדד זכויות האדם האובייקטיבי של כל ארגוני זכויות האדם ואמנות האו""ם לפליטים"""
256,22/08/2018,יצחק כהן,על הצורך לקיים עבודות לבניית גשר יהודית בתל אביב בשבת,"ש""ס",כאן ב׳,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/QXx46naW78,הכנסת ה-20,male,"""כל הסיפור הזה הוא גימיק, הוא פרובוקציה. הוא התחיל כצורך פוליטי לקראת הבחירות המקומיות המוניציפליות. אף אחד לא באמת חושב שתוכנית כזאת גדולה יצאה פתאום בין לילה"""
257,26/06/2019,יצחק פינדרוס,על יחסו של שי פירון לחרדים:,יהדות התורה,גל״צ,misleading,"חינוך, תרבות וספורט",תקציב,https://www.thewhistle.co.il/feed/36xj8XVWRd,הכנסת ה-21,male,"""כשישב איש יש עתיד במשרד החינוך, אז תוך כדי המלחמה בעזה ילדים חרדים לא היו זכאים לקייטנות בשדרות"""
258,17/08/2017,יריב לוין,על נאומו של רה״מ נגד רשויות החוק,ליכוד,כאן ב׳,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/DKWRRb6Wbj,הכנסת ה-20,male,"""אם הקשבת לנאום של ראש הממשלה, הוא במפורש אמר – רבותי, תנו לרשויות לעשות את עבודתן, הוא אמר את הדברים האלה"""
259,08/09/2017,יריב לוין,"על פסיקת בג""ץ בעניין מבקשי המקלט",ליכוד,גלובס,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/O10Y9rp0wq,הכנסת ה-20,male,"""הקביעה [של ביהמ""ש העליון] שאומרת שאדם יכול לגנוב את הגבול ולהיכנס למדינה בצורה בלתי חוקית, אבל אז אסור להוציא אותו בכפייה, זה דבר מטורף"""
260,03/10/2017,יריב לוין,על היעדרות הרשות השופטת מטקס בגוש עציון,ליכוד,גל״צ,untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/wzy5KJm0Q6,הכנסת ה-20,male,"""זה לא עניין לבחירה של השופטים איזה טקס נאה בעיניהם ואיזה לא. הם צריכים להתייצב על פי כללי הפרוטוקול כנציגים רשמיים של הרשות השופטת"""
261,27/11/2017,יריב לוין,על פתיחת עסקים בשבת,ליכוד,כאן ב׳,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/Xr0mzK2Wpv,הכנסת ה-20,male,"""נוצר התקדים של תל אביב ובעקבותיו פסיקה של ביהמ""ש העליון, שבא ואמר שלמרות שהחוק קובע ששר הפנים צריך לאשר, הרי שמבחינת ביהמ""ש הסמכות היא טכנית ולא מהותית, והשר חייב לחתום בכל מקרה. מה שאנחנו עושים זה להחזיר את הסדר כמו שהיה מלכתחילה"""
262,08/12/2017,יריב לוין,על חוק ההמלצות,ליכוד,חברת החדשות,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/a5xQzld0qA,הכנסת ה-20,male,"""ראש הממשלה הבהיר שהוא לא מעוניין בדבר הזה, [חוק ההמלצות] הוא עשה את זה כבר בישיבת שרי הליכוד לפני למעלה חודש [...] הוא לא עצר את החקיקה, מי שקיבל את ההחלטה הוא יו""ר ועדת הפנים ח""כ אמסלם"""
263,13/05/2018,יריב לוין,על תאגיד השידור הציבורי,ליכוד,גל״צ,untrue,תקשורת,תאגיד השידור,https://www.thewhistle.co.il/feed/47yD8PeyGP,הכנסת ה-20,male,"""לא היה ויכוח גדול על עצם קיום התאגיד. זה על הצורך שהוא יעסוק, בעלות של למעלה מ-700 מיליון שקל בנושאים שכנראה הציבור לא כל כך מעוניין שיעסוק בהם כי הוא לא צופה בהם"""
264,12/10/2018,יריב לוין,"על השפעת פסיקות בג""ץ על קצב יציאת מהגרים ומבקשי מקלט מהארץ",ליכוד,גל״צ,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/YXylJEL0w2,הכנסת ה-20,male,"""עד שבוטל החוק הראשון [...] קצב היציאה הגיע ללמעלה מ-1,500 מסתננים שיצאו מכאן בחודש, והקצב הלך וגדל כל הזמן. מהרגע שבוטל החוק על ידי בג""ץ, באופן מיידי היתה צניחה עד קרוב לאפס במספר היוצאים"""
265,24/10/2018,יריב לוין,על מפוני המאחז עמונה,ליכוד,כאן ב׳,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/1l0L1YDWva,הכנסת ה-20,male,"""[בעמונה] לא היה חולק שהם פעלו באמת בתום לב ושלא חשבו שהם על קרקע פרטית, ולא ידעו"""
266,24/12/2017,ישראל אייכלר,על ביקור הוועדה בבית שמש,יהדות התורה,הודעה לעיתונות,half true,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/YMWp5XGyKk,הכנסת ה-20,male,"""למרות חסות הכנסת, גיוס אוטובוס, שוטרים ומשמר הכנסת, לא הגיעו אלא שני חברי הוועדה למעמד האישה [...] מתוך תשעה חברים בוועדה השתתפו רק יושבת הראש מהרשימה הערבית המשותפת ונציג מרצ בוועדה"""
267,23/12/2018,ישראל אייכלר,"על גיוס נשים לצה""ל",יהדות התורה,רדיו קול-חי,mostly true,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/3wW6KYpyD2,הכנסת ה-20,male,"""צפון קוריאה היא המדינה היחידה שיש בה גיוס חובה לבנות"""
268,28/04/2019,ישראל אייכלר,על ביצועי תכנית מחיר למשתכן:,יהדות התורה,"גל""צ",mostly true,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/nJy3YGG0PO,מע׳ בחירות,male,"""60 אלף אנשים סיפרו להם שיש להם דירות, ורק ל-20 אלף הוגשו בקשות להיתר בנייה. 40 אלף זוגות צעירים, יש להם אשליה של דירה ואין להם זכר של דירה"""
269,05/12/2017,ישראל כ״ץ,על מספר ההרוגים בתאונות דרכים,ליכוד,כאן ב׳,untrue,תחבורה,תאונות דרכים,https://www.thewhistle.co.il/feed/1l0L1kMWva,הכנסת ה-20,male,-1
270,12/09/2018,ישראל כ״ץ,בעקבות ההודעה על סגירת הנציגות הפלסטינית בוושינגטון,ליכוד,גלי ישראל,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/QrxOM5BW9B,הכנסת ה-20,male,"״פנייה לבית הדין הבינלאומי בהאג [היא] בניגוד לכל הסכם שהם חתומים עליו, בניגוד לחוק האמריקאי״"
271,04/10/2018,ישראל כ״ץ,על מעורבותו של רון חולדאי בהקמת גשר יהודית בתל אביב,ליכוד,גל״צ,untrue,תחבורה,רכבת,https://www.thewhistle.co.il/feed/Xr0mzEwWpv,הכנסת ה-20,male,"""אפילו את הגשר הזה הוא [רון חולדאי] לא דחף, שפתאום הוא דוחף אותו לפני הבחירות"""
272,05/12/2018,ישראל כ״ץ,על ההפסדים של רכבת ישראל ברבעון השלישי של 2018,ליכוד,כאן ב׳,mostly true,תחבורה,רכבת,https://www.thewhistle.co.il/feed/kDy83zaWwa,הכנסת ה-20,male,"מראיין: ""הרכבת הודיעה שהפסידה מאות מיליוני שקלים מההפעלה המוקדמת של הקו מירושלים""כ""ץ: ""הפעלת הקו לירושלים לא גרמה נזקים, יש הפסדים כבדים בתחום המטענים ודברים אחרים"""
273,13/03/2019,ישראל כ״ץ,על תקציב התחבורה הציבורית,ליכוד,קשת,mostly true,כלכלה,תקציב התחבורה,https://www.thewhistle.co.il/feed/e30EJQaWXQ,מע׳ בחירות,male,"""ההשקעה בתחבורה הציבורית מבחינת סכומי כסף גבוהה מזה שמשקיעים בכבישים"""
274,28/03/2019,ישראל כ״ץ,"ל דו""ח מבקר המדינה בנושא ההתקשרות בין החברה של בני גנץ למשטרה:",ליכוד,כאן ב',untrue,חוץ ובטחון,סכסוך ישראלי-ערבי,https://www.thewhistle.co.il/feed/Z909Ob9yqO,מע׳ בחירות,male,"""אני יודע שכתוב שיש שם חשד לעבירות פליליות"""
275,26/06/2019,ישראל כ״ץ,על תרומותו לירידה בקטל בדרכים:,ליכוד,פייסבוק,half true,תחבורה,הרוגים בתאונות דרכים,https://www.thewhistle.co.il/feed/OZWqm2RWjw,הכנסת ה-21,male,"""שיפרנו את מצב הבטיחות בדרכים עם ירידה של כ-30% במספר ההרוגים"""
276,07/09/2018,מאיר כהן,על גובה השכר בישראל,יש עתיד,רדיוס,untrue,כלכלה,שכר,https://www.thewhistle.co.il/feed/jKx28DMWZq,הכנסת ה-20,male,"""עדיין רוב האנשים במדינת ישראל משתכרים שכר מינימום ופחות"""
277,06/03/2019,מאיר כהן,על הבנייה בירושלים בזמן כהונת נתניהו לעומת כהונת אולמרט:,כחול לבן,רשת,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/LK0ZaqRxPk,מע׳ בחירות,male,"""האיש הזה [נתניהו] שלא חיזק את גושי ההתיישבות, האיש הזה שאולמרט בנה יותר ממנו בירושלים"""
278,16/05/2019,מאיר כהן,על הרוב המבוקש בוועדת הכנסת,כחול לבן,"גל""צ",mostly untrue,"כנסת, ממשלה ומנהל ציבורי",ועדת הכנסת,https://www.thewhistle.co.il/feed/N1xgVXbyeO,הכנסת ה-21,male,"""כח הקנייה של האזרח הישראלי קטן משל חבריו באירופה [...] בכל פעם שתראו עליית מחירים במדד לצרכן, תשאלו את עצמכן: מתי בפעם האחרונה קיבלתם העלאה דומה במשכורת?"""
279,13/09/2017,מאיר פרוש,על דבריו נגד השופט המנוח חשין,יהדות התורה,כאן ב׳,untrue,"כנסת, ממשלה ומנהל ציבורי",השופט חשין,https://www.thewhistle.co.il/feed/M8W1Owexge,הכנסת ה-20,male,"מראיין: ""אני זוכר שקראת לו (לשופט חשין) חזיר"". פרוש: ""לא אמרתי לו בדיוק ככה. בוא, תדייק"""
280,13/09/2017,מאיר פרוש,על חוק הגיוס,יהדות התורה,כאן ב׳,mostly true,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/qX0nzpZ0N9,הכנסת ה-20,male,"""ילד חריג אוטיסט, כן? חרדי, לומד במוסד פטור, חוק חינוך מיוחד של המדינה לא חל עליו. ראית פעם את הבג""ץ מתעסק בזה? הוא דואג למסתננים, לילדי המסתננים. לילדי החרדים הוא לא דואג"""
281,13/09/2017,מוטי יוגב,על סמכות ביהמ״ש לבטל חקיקה,הבית היהודי,כאן ב׳,untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/nJy3YQG0PO,הכנסת ה-20,male,"""אין מדינה דמוקרטית בעולם בה בית משפט עליון יכול לבטל חקיקה של הכנסת"""
282,25/09/2017,מוטי יוגב,על תקציב הביטחון,הבית היהודי,דה-מרקר,half true,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/YXylJq40w2,הכנסת ה-20,male,"״מ-2016, משרד האוצר, משרד הביטחון ומשרד ראש הממשלה... בהסכמות הגיעו לתקציב הגדול ב-20 מיליארד שקל מתקופת 'יש עתיד'״"
283,10/10/2017,מוטי יוגב,על צילומי לוויין של גוגל בישראל,הבית היהודי,כאן ב׳,mostly true,חוץ ובטחון,צילומי לווין של גוגל,https://www.thewhistle.co.il/feed/RVxBjQaxZk,הכנסת ה-20,male,"""הקונגרס האמריקאי אחרי פניות אליו, ואחרים, ביקשו מגוגל שבישראל יצלמו ברזולוציות נמוכות יותר, וכך גוגל אכן נוהגת ומתחשבת בצרכים הביטחוניים של ישראל"""
